datetime,temp,humidity,precip,precipprob,preciptype,region
2019-02-01T00:00:00,13.4,81.5,0.0,0,,San Francisco
2019-02-01T01:00:00,13.2,79.68,0.0,0,,San Francisco
2019-02-01T02:00:00,13.2,79.68,0.0,0,,San Francisco
2019-02-01T03:00:00,13.1,80.11,0.0,0,,San Francisco
2019-02-01T04:00:00,12.2,85.31,0.0,0,,San Francisco
2019-02-01T05:00:00,11.7,86.08,0.0,0,,San Francisco
2019-02-01T06:00:00,11.9,82.09,0.0,0,,San Francisco
2019-02-01T07:00:00,12.0,79.96,0.0,0,,San Francisco
2019-02-01T08:00:00,11.9,83.72,0.0,0,,San Francisco
2019-02-01T09:00:00,12.9,79.84,0.0,0,,San Francisco
2019-02-01T10:00:00,13.6,75.17,0.0,0,,San Francisco
2019-02-01T11:00:00,14.2,71.07,0.0,0,,San Francisco
2019-02-01T12:00:00,14.6,68.57,0.0,0,,San Francisco
2019-02-01T13:00:00,14.8,66.06,0.0,0,,San Francisco
2019-02-01T14:00:00,14.7,64.03,0.0,0,,San Francisco
2019-02-01T15:00:00,14.1,68.19,0.0,0,,San Francisco
2019-02-01T16:00:00,13.7,73.11,0.25,100,rain,San Francisco
2019-02-01T17:00:00,13.7,75.5,0.124,100,rain,San Francisco
2019-02-01T18:00:00,13.6,74.55,0.637,100,rain,San Francisco
2019-02-01T19:00:00,13.2,78.0,1.131,100,rain,San Francisco
2019-02-01T20:00:00,13.4,76.95,0.124,100,rain,San Francisco
2019-02-01T21:00:00,12.9,78.97,0.46,100,rain,San Francisco
2019-02-01T22:00:00,12.9,78.65,0.41700000000000004,100,rain,San Francisco
2019-02-01T23:00:00,12.8,77.45,0.0,0,,San Francisco
2019-02-02T00:00:00,13.2,74.3,0.0,0,,San Francisco
2019-02-02T01:00:00,13.1,74.8,0.126,100,rain,San Francisco
2019-02-02T02:00:00,12.6,80.07,0.25,100,rain,San Francisco
2019-02-02T03:00:00,12.9,80.53,0.42,100,rain,San Francisco
2019-02-02T04:00:00,12.5,83.48,0.778,100,rain,San Francisco
2019-02-02T05:00:00,12.2,83.41,3.1489999999999996,100,rain,San Francisco
2019-02-02T06:00:00,12.2,80.07,1.885,100,rain,San Francisco
2019-02-02T07:00:00,11.8,82.34,0.126,100,rain,San Francisco
2019-02-02T08:00:00,12.0,83.76,1.011,100,rain,San Francisco
2019-02-02T09:00:00,12.7,82.78,0.259,100,rain,San Francisco
2019-02-02T10:00:00,12.9,81.07,0.132,100,rain,San Francisco
2019-02-02T11:00:00,13.6,76.45,0.0,0,,San Francisco
2019-02-02T12:00:00,14.2,71.14,0.0,0,,San Francisco
2019-02-02T13:00:00,14.8,63.92,0.124,100,rain,San Francisco
2019-02-02T14:00:00,14.8,63.4,0.0,0,,San Francisco
2019-02-02T15:00:00,14.3,63.04,0.21,100,rain,San Francisco
2019-02-02T16:00:00,13.9,62.68,0.05,100,rain,San Francisco
2019-02-02T17:00:00,12.9,68.24,0.066,100,rain,San Francisco
2019-02-02T18:00:00,12.4,71.53,0.185,100,rain,San Francisco
2019-02-02T19:00:00,11.5,75.23,0.115,100,rain,San Francisco
2019-02-02T20:00:00,11.3,76.4,0.358,100,rain,San Francisco
2019-02-02T21:00:00,10.7,80.15,2.51,100,rain,San Francisco
2019-02-02T22:00:00,10.5,80.11,0.688,100,rain,San Francisco
2019-02-02T23:00:00,10.8,81.26,0.272,100,rain,San Francisco
2019-02-03T00:00:00,10.8,85.05,0.589,100,rain,San Francisco
2019-02-03T01:00:00,10.8,87.49,0.166,100,rain,San Francisco
2019-02-03T02:00:00,11.1,86.18,0.336,100,rain,San Francisco
2019-02-03T03:00:00,11.4,86.08,0.21,100,rain,San Francisco
2019-02-03T04:00:00,12.2,82.97,0.0,0,,San Francisco
2019-02-03T05:00:00,12.2,86.51,0.0,0,,San Francisco
2019-02-03T06:00:00,12.1,88.21,0.0,0,,San Francisco
2019-02-03T07:00:00,12.4,86.66,0.126,100,rain,San Francisco
2019-02-03T08:00:00,12.9,82.78,0.25,100,rain,San Francisco
2019-02-03T09:00:00,11.9,87.72,0.25,100,rain,San Francisco
2019-02-03T10:00:00,13.4,80.13,0.0,0,,San Francisco
2019-02-03T11:00:00,13.1,82.15,0.273,100,rain,San Francisco
2019-02-03T12:00:00,13.1,86.51,0.292,100,rain,San Francisco
2019-02-03T13:00:00,12.6,83.23,0.0,0,,San Francisco
2019-02-03T14:00:00,13.0,78.33,0.0,0,,San Francisco
2019-02-03T15:00:00,13.5,65.34,0.0,0,,San Francisco
2019-02-03T16:00:00,12.7,68.86,0.0,0,,San Francisco
2019-02-03T17:00:00,12.4,68.09,0.0,0,,San Francisco
2019-02-03T18:00:00,12.3,66.78,0.0,0,,San Francisco
2019-02-03T19:00:00,11.5,70.25,0.0,0,,San Francisco
2019-02-03T20:00:00,11.6,70.27,0.0,0,,San Francisco
2019-02-03T21:00:00,11.9,68.91,0.126,100,rain,San Francisco
2019-02-03T22:00:00,11.7,69.84,0.0,0,,San Francisco
2019-02-03T23:00:00,11.5,73.75,0.0,0,,San Francisco
2019-02-04T00:00:00,11.0,78.9,0.126,100,rain,San Francisco
2019-02-04T01:00:00,10.9,80.72,0.762,100,rain,San Francisco
2019-02-04T02:00:00,10.0,86.1,2.503,100,rain,San Francisco
2019-02-04T03:00:00,11.0,83.08,2.252,100,rain,San Francisco
2019-02-04T04:00:00,10.9,82.48,1.516,100,rain,San Francisco
2019-02-04T05:00:00,10.4,80.33,0.9670000000000001,100,rain,San Francisco
2019-02-04T06:00:00,9.8,82.69,0.755,100,rain,San Francisco
2019-02-04T07:00:00,10.3,75.84,0.166,100,rain,San Francisco
2019-02-04T08:00:00,9.7,76.3,0.445,100,rain,San Francisco
2019-02-04T09:00:00,10.0,75.32,0.382,100,rain,San Francisco
2019-02-04T10:00:00,8.9,79.31,0.624,100,rain,San Francisco
2019-02-04T11:00:00,9.5,76.11,0.33399999999999996,100,rain,San Francisco
2019-02-04T12:00:00,9.9,72.62,0.3,100,rain,San Francisco
2019-02-04T13:00:00,10.3,67.0,0.0,0,,San Francisco
2019-02-04T14:00:00,10.2,64.2,0.126,100,rain,San Francisco
2019-02-04T15:00:00,9.0,71.0,0.927,100,rain,San Francisco
2019-02-04T16:00:00,9.9,68.34,0.0,0,,San Francisco
2019-02-04T17:00:00,8.5,66.13,0.0,0,,San Francisco
2019-02-04T18:00:00,7.4,70.26,0.33299999999999996,100,rain,San Francisco
2019-02-04T19:00:00,6.8,76.02,0.799,100,rain,San Francisco
2019-02-04T20:00:00,8.2,68.75,0.166,100,rain,San Francisco
2019-02-04T21:00:00,7.6,72.08,0.737,100,rain,San Francisco
2019-02-04T22:00:00,7.4,67.47,0.126,100,rain,San Francisco
2019-02-04T23:00:00,7.4,65.76,0.0,0,,San Francisco
2019-02-05T00:00:00,6.7,69.71,0.336,100,rain,San Francisco
2019-02-05T01:00:00,5.9,75.99,0.5429999999999999,100,rain,San Francisco
2019-02-05T02:00:00,5.0,79.09,1.3630000000000002,100,rain,San Francisco
2019-02-05T03:00:00,5.2,79.0,0.231,100,rain,San Francisco
2019-02-05T04:00:00,5.7,71.55,0.35700000000000004,100,rain,San Francisco
2019-02-05T05:00:00,5.9,71.03,0.126,100,rain,San Francisco
2019-02-05T06:00:00,5.9,75.77,0.126,100,rain,San Francisco
2019-02-05T07:00:00,5.6,72.48,0.0,0,,San Francisco
2019-02-05T08:00:00,5.7,72.18,0.0,0,,San Francisco
2019-02-05T09:00:00,6.7,66.58,0.0,0,,San Francisco
2019-02-05T10:00:00,6.6,69.99,0.0,0,,San Francisco
2019-02-05T11:00:00,7.3,66.47,0.0,0,,San Francisco
2019-02-05T12:00:00,8.6,60.32,0.0,0,,San Francisco
2019-02-05T13:00:00,9.2,49.27,0.0,0,,San Francisco
2019-02-05T14:00:00,10.0,45.43,0.0,0,,San Francisco
2019-02-05T15:00:00,10.0,46.1,0.0,0,,San Francisco
2019-02-05T16:00:00,10.0,46.46,0.0,0,,San Francisco
2019-02-05T17:00:00,9.7,48.25,0.0,0,,San Francisco
2019-02-05T18:00:00,8.9,50.79,0.0,0,,San Francisco
2019-02-05T19:00:00,8.2,52.76,0.0,0,,San Francisco
2019-02-05T20:00:00,7.3,58.22,0.0,0,,San Francisco
2019-02-05T21:00:00,7.4,59.31,0.0,0,,San Francisco
2019-02-05T22:00:00,6.3,64.1,0.0,0,,San Francisco
2019-02-05T23:00:00,7.3,56.74,0.0,0,,San Francisco
2019-02-06T00:00:00,6.2,65.21,0.0,0,,San Francisco
2019-02-06T01:00:00,4.5,73.22,0.0,0,,San Francisco
2019-02-06T02:00:00,4.6,73.78,0.0,0,,San Francisco
2019-02-06T03:00:00,4.2,75.97,0.0,0,,San Francisco
2019-02-06T04:00:00,4.7,70.72,0.0,0,,San Francisco
2019-02-06T05:00:00,3.6,76.01,0.0,0,,San Francisco
2019-02-06T06:00:00,3.9,71.87,0.0,0,,San Francisco
2019-02-06T07:00:00,3.8,73.84,0.0,0,,San Francisco
2019-02-06T08:00:00,4.6,76.49,0.0,0,,San Francisco
2019-02-06T09:00:00,6.7,71.12,0.0,0,,San Francisco
2019-02-06T10:00:00,8.4,66.11,0.0,0,,San Francisco
2019-02-06T11:00:00,9.7,62.33,0.0,0,,San Francisco
2019-02-06T12:00:00,10.5,59.36,0.0,0,,San Francisco
2019-02-06T13:00:00,10.7,59.47,0.0,0,,San Francisco
2019-02-06T14:00:00,12.6,53.84,0.0,0,,San Francisco
2019-02-06T15:00:00,12.2,54.48,0.0,0,,San Francisco
2019-02-06T16:00:00,11.9,57.8,0.0,0,,San Francisco
2019-02-06T17:00:00,11.7,59.88,0.0,0,,San Francisco
2019-02-06T18:00:00,11.6,57.66,0.0,0,,San Francisco
2019-02-06T19:00:00,10.2,59.55,0.0,0,,San Francisco
2019-02-06T20:00:00,9.1,64.91,0.0,0,,San Francisco
2019-02-06T21:00:00,8.0,70.04,0.0,0,,San Francisco
2019-02-06T22:00:00,8.0,67.48,0.0,0,,San Francisco
2019-02-06T23:00:00,7.4,68.76,0.0,0,,San Francisco
2019-02-07T00:00:00,6.5,73.97,0.0,0,,San Francisco
2019-02-07T01:00:00,6.1,72.45,0.0,0,,San Francisco
2019-02-07T02:00:00,4.8,75.08,0.0,0,,San Francisco
2019-02-07T03:00:00,5.3,74.95,0.0,0,,San Francisco
2019-02-07T04:00:00,4.6,76.0,0.0,0,,San Francisco
2019-02-07T05:00:00,5.2,73.83,0.0,0,,San Francisco
2019-02-07T06:00:00,4.1,76.96,0.0,0,,San Francisco
2019-02-07T07:00:00,4.9,76.37,0.0,0,,San Francisco
2019-02-07T08:00:00,5.6,74.5,0.0,0,,San Francisco
2019-02-07T09:00:00,7.4,68.3,0.0,0,,San Francisco
2019-02-07T10:00:00,8.4,66.05,0.0,0,,San Francisco
2019-02-07T11:00:00,9.4,64.11,0.0,0,,San Francisco
2019-02-07T12:00:00,10.3,59.27,0.0,0,,San Francisco
2019-02-07T13:00:00,11.2,49.45,0.0,0,,San Francisco
2019-02-07T14:00:00,11.8,47.68,0.0,0,,San Francisco
2019-02-07T15:00:00,11.9,48.49,0.0,0,,San Francisco
2019-02-07T16:00:00,12.5,49.23,0.0,0,,San Francisco
2019-02-07T17:00:00,11.8,48.61,0.0,0,,San Francisco
2019-02-07T18:00:00,10.7,54.27,0.0,0,,San Francisco
2019-02-07T19:00:00,10.1,61.28,0.0,0,,San Francisco
2019-02-07T20:00:00,9.4,63.92,0.0,0,,San Francisco
2019-02-07T21:00:00,9.2,61.97,0.0,0,,San Francisco
2019-02-07T22:00:00,9.4,59.95,0.0,0,,San Francisco
2019-02-07T23:00:00,9.6,60.28,0.0,0,,San Francisco
2019-02-08T00:00:00,8.7,68.69,0.0,0,,San Francisco
2019-02-08T01:00:00,8.9,65.48,0.0,0,,San Francisco
2019-02-08T02:00:00,9.1,66.57,0.0,0,,San Francisco
2019-02-08T03:00:00,8.6,68.85,0.0,0,,San Francisco
2019-02-08T04:00:00,8.1,70.18,0.0,0,,San Francisco
2019-02-08T05:00:00,6.8,73.58,0.0,0,,San Francisco
2019-02-08T06:00:00,6.5,75.17,0.0,0,,San Francisco
2019-02-08T07:00:00,6.7,77.69,0.0,0,,San Francisco
2019-02-08T08:00:00,8.1,73.34,0.0,0,,San Francisco
2019-02-08T09:00:00,8.6,70.42,0.0,0,,San Francisco
2019-02-08T10:00:00,9.4,69.23,0.0,0,,San Francisco
2019-02-08T11:00:00,10.8,65.43,0.0,0,,San Francisco
2019-02-08T12:00:00,11.1,62.89,0.0,0,,San Francisco
2019-02-08T13:00:00,11.9,60.01,0.126,100,rain,San Francisco
2019-02-08T14:00:00,9.8,74.31,3.9619999999999997,100,rain,San Francisco
2019-02-08T15:00:00,8.9,81.27,4.7139999999999995,100,rain,San Francisco
2019-02-08T16:00:00,9.2,79.2,0.461,100,rain,San Francisco
2019-02-08T17:00:00,9.1,82.83,0.875,100,rain,San Francisco
2019-02-08T18:00:00,8.7,84.0,0.124,100,rain,San Francisco
2019-02-08T19:00:00,8.7,84.0,0.0,0,,San Francisco
2019-02-08T20:00:00,8.9,82.34,0.0,0,,San Francisco
2019-02-08T21:00:00,8.7,82.43,0.0,0,,San Francisco
2019-02-08T22:00:00,8.6,83.99,0.0,0,,San Francisco
2019-02-08T23:00:00,8.6,80.53,0.0,0,,San Francisco
2019-02-09T00:00:00,8.4,81.87,0.336,100,rain,San Francisco
2019-02-09T01:00:00,8.4,81.09,0.0,0,,San Francisco
2019-02-09T02:00:00,7.3,83.29,0.0,0,,San Francisco
2019-02-09T03:00:00,6.3,85.79,0.0,0,,San Francisco
2019-02-09T04:00:00,7.0,88.29,0.0,0,,San Francisco
2019-02-09T05:00:00,6.7,89.93,0.0,0,,San Francisco
2019-02-09T06:00:00,6.8,87.53,0.0,0,,San Francisco
2019-02-09T07:00:00,6.7,84.97,0.0,0,,San Francisco
2019-02-09T08:00:00,6.8,85.6,0.5429999999999999,100,rain,San Francisco
2019-02-09T09:00:00,8.1,81.95,0.0,0,,San Francisco
2019-02-09T10:00:00,9.5,79.6,0.0,0,,San Francisco
2019-02-09T11:00:00,11.2,69.57,0.0,0,,San Francisco
2019-02-09T12:00:00,11.0,71.54,0.0,0,,San Francisco
2019-02-09T13:00:00,11.6,70.36,0.126,100,rain,San Francisco
2019-02-09T14:00:00,12.5,66.4,0.0,0,,San Francisco
2019-02-09T15:00:00,12.9,62.29,0.0,0,,San Francisco
2019-02-09T16:00:00,11.7,70.25,0.25,100,rain,San Francisco
2019-02-09T17:00:00,10.2,77.71,0.3,100,rain,San Francisco
2019-02-09T18:00:00,10.2,77.22,0.33299999999999996,100,rain,San Francisco
2019-02-09T19:00:00,10.9,73.91,0.384,100,rain,San Francisco
2019-02-09T20:00:00,10.3,84.83,2.028,100,rain,San Francisco
2019-02-09T21:00:00,10.7,86.4,0.4,100,rain,San Francisco
2019-02-09T22:00:00,10.3,73.76,0.9390000000000001,100,rain,San Francisco
2019-02-09T23:00:00,9.4,74.98,1.1340000000000001,100,rain,San Francisco
2019-02-10T00:00:00,8.4,88.68,1.124,100,rain,San Francisco
2019-02-10T01:00:00,7.7,87.11,0.544,100,rain,San Francisco
2019-02-10T02:00:00,7.1,80.29,1.275,100,rain,San Francisco
2019-02-10T03:00:00,6.8,82.66,0.61,100,rain,San Francisco
2019-02-10T04:00:00,6.9,80.13,0.126,100,rain,San Francisco
2019-02-10T05:00:00,6.7,79.18,0.33399999999999996,100,rain,San Francisco
2019-02-10T06:00:00,6.4,75.18,0.736,100,rain,San Francisco
2019-02-10T07:00:00,5.7,79.78,0.36,100,rain,San Francisco
2019-02-10T08:00:00,5.8,75.93,0.0,0,,San Francisco
2019-02-10T09:00:00,7.4,76.67,0.0,0,,San Francisco
2019-02-10T10:00:00,8.4,64.09,0.0,0,,San Francisco
2019-02-10T11:00:00,9.1,53.14,0.0,0,,San Francisco
2019-02-10T12:00:00,9.7,54.82,0.0,0,,San Francisco
2019-02-10T13:00:00,10.0,57.16,0.0,0,,San Francisco
2019-02-10T14:00:00,10.7,54.51,0.0,0,,San Francisco
2019-02-10T15:00:00,10.7,54.51,0.0,0,,San Francisco
2019-02-10T16:00:00,10.5,54.86,0.0,0,,San Francisco
2019-02-10T17:00:00,10.1,59.08,0.0,0,,San Francisco
2019-02-10T18:00:00,9.2,59.33,0.0,0,,San Francisco
2019-02-10T19:00:00,8.9,60.87,0.0,0,,San Francisco
2019-02-10T20:00:00,8.6,65.16,0.0,0,,San Francisco
2019-02-10T21:00:00,7.7,67.95,0.0,0,,San Francisco
2019-02-10T22:00:00,6.8,70.63,0.0,0,,San Francisco
2019-02-10T23:00:00,6.2,74.66,0.0,0,,San Francisco
2019-02-11T00:00:00,6.0,77.22,0.0,0,,San Francisco
2019-02-11T01:00:00,5.4,79.34,0.0,0,,San Francisco
2019-02-11T02:00:00,5.4,78.18,0.0,0,,San Francisco
2019-02-11T03:00:00,4.6,82.01,0.0,0,,San Francisco
2019-02-11T04:00:00,6.3,79.8,0.126,100,rain,San Francisco
2019-02-11T05:00:00,5.2,83.86,0.0,0,,San Francisco
2019-02-11T06:00:00,4.8,83.78,0.0,0,,San Francisco
2019-02-11T07:00:00,5.0,83.44,0.0,0,,San Francisco
2019-02-11T08:00:00,6.4,77.45,0.0,0,,San Francisco
2019-02-11T09:00:00,7.6,74.15,0.0,0,,San Francisco
2019-02-11T10:00:00,9.0,70.6,0.0,0,,San Francisco
2019-02-11T11:00:00,10.0,68.41,0.0,0,,San Francisco
2019-02-11T12:00:00,11.1,61.35,0.0,0,,San Francisco
2019-02-11T13:00:00,11.2,55.44,0.0,0,,San Francisco
2019-02-11T14:00:00,11.5,53.98,0.0,0,,San Francisco
2019-02-11T15:00:00,11.2,53.31,0.0,0,,San Francisco
2019-02-11T16:00:00,11.6,53.57,0.0,0,,San Francisco
2019-02-11T17:00:00,10.8,59.85,0.0,0,,San Francisco
2019-02-11T18:00:00,9.8,67.12,0.0,0,,San Francisco
2019-02-11T19:00:00,8.8,72.95,0.0,0,,San Francisco
2019-02-11T20:00:00,7.9,75.94,0.0,0,,San Francisco
2019-02-11T21:00:00,6.6,80.1,0.0,0,,San Francisco
2019-02-11T22:00:00,6.5,78.21,0.0,0,,San Francisco
2019-02-11T23:00:00,6.4,77.88,0.0,0,,San Francisco
2019-02-12T00:00:00,6.6,75.55,0.0,0,,San Francisco
2019-02-12T01:00:00,5.7,76.36,0.0,0,,San Francisco
2019-02-12T02:00:00,5.1,82.06,0.0,0,,San Francisco
2019-02-12T03:00:00,4.7,82.63,0.0,0,,San Francisco
2019-02-12T04:00:00,5.6,79.36,0.0,0,,San Francisco
2019-02-12T05:00:00,5.3,83.47,0.0,0,,San Francisco
2019-02-12T06:00:00,6.1,76.67,0.0,0,,San Francisco
2019-02-12T07:00:00,6.4,72.61,0.0,0,,San Francisco
2019-02-12T08:00:00,6.9,74.36,0.0,0,,San Francisco
2019-02-12T09:00:00,7.6,74.16,0.0,0,,San Francisco
2019-02-12T10:00:00,8.4,68.91,0.0,0,,San Francisco
2019-02-12T11:00:00,9.2,60.46,0.0,0,,San Francisco
2019-02-12T12:00:00,10.3,56.52,0.0,0,,San Francisco
2019-02-12T13:00:00,10.0,62.47,0.0,0,,San Francisco
2019-02-12T14:00:00,10.8,58.73,0.0,0,,San Francisco
2019-02-12T15:00:00,10.8,51.1,0.0,0,,San Francisco
2019-02-12T16:00:00,11.4,51.27,0.0,0,,San Francisco
2019-02-12T17:00:00,11.3,57.22,0.0,0,,San Francisco
2019-02-12T18:00:00,11.5,52.15,0.0,0,,San Francisco
2019-02-12T19:00:00,11.8,53.53,0.0,0,,San Francisco
2019-02-12T20:00:00,12.0,55.96,0.126,100,rain,San Francisco
2019-02-12T21:00:00,10.4,68.82,0.55,100,rain,San Francisco
2019-02-12T22:00:00,9.6,71.0,1.253,100,rain,San Francisco
2019-02-12T23:00:00,10.0,71.07,2.7289999999999996,100,rain,San Francisco
2019-02-13T00:00:00,9.7,73.33,1.252,100,rain,San Francisco
2019-02-13T01:00:00,9.9,74.56,0.518,100,rain,San Francisco
2019-02-13T02:00:00,9.6,74.93,0.384,100,rain,San Francisco
2019-02-13T03:00:00,11.9,65.37,0.124,100,rain,San Francisco
2019-02-13T04:00:00,11.2,66.97,0.504,100,rain,San Francisco
2019-02-13T05:00:00,10.2,74.48,2.46,100,rain,San Francisco
2019-02-13T06:00:00,10.5,73.68,1.3,100,rain,San Francisco
2019-02-13T07:00:00,9.5,83.58,6.307,100,rain,San Francisco
2019-02-13T08:00:00,9.5,84.81,2.201,100,rain,San Francisco
2019-02-13T09:00:00,9.7,86.44,2.529,100,rain,San Francisco
2019-02-13T10:00:00,10.1,88.82,1.63,100,rain,San Francisco
2019-02-13T11:00:00,10.3,90.06,1.713,100,rain,San Francisco
2019-02-13T12:00:00,11.6,86.7,6.0329999999999995,100,rain,San Francisco
2019-02-13T13:00:00,13.6,85.13,1.022,100,rain,San Francisco
2019-02-13T14:00:00,15.6,78.93,0.7509999999999999,100,rain,San Francisco
2019-02-13T15:00:00,16.1,76.54,0.126,100,rain,San Francisco
2019-02-13T16:00:00,16.7,76.31,0.0,0,,San Francisco
2019-02-13T17:00:00,16.1,76.53,0.0,0,,San Francisco
2019-02-13T18:00:00,15.6,78.92,0.126,100,rain,San Francisco
2019-02-13T19:00:00,16.0,78.96,0.126,100,rain,San Francisco
2019-02-13T20:00:00,16.2,80.86,0.17,100,rain,San Francisco
2019-02-13T21:00:00,15.0,87.03,1.9180000000000001,100,rain,San Francisco
2019-02-13T22:00:00,14.9,89.6,0.46,100,rain,San Francisco
2019-02-13T23:00:00,15.7,84.21,2.9739999999999998,100,rain,San Francisco
2019-02-14T00:00:00,16.0,82.96,0.9,100,rain,San Francisco
2019-02-14T01:00:00,16.0,84.76,1.94,100,rain,San Francisco
2019-02-14T02:00:00,15.8,87.2,1.614,100,rain,San Francisco
2019-02-14T03:00:00,17.0,80.4,0.9159999999999999,100,rain,San Francisco
2019-02-14T04:00:00,16.0,84.55,0.467,100,rain,San Francisco
2019-02-14T05:00:00,15.8,85.69,0.126,100,rain,San Francisco
2019-02-14T06:00:00,13.2,86.67,0.42,100,rain,San Francisco
2019-02-14T07:00:00,12.9,84.39,0.0,0,,San Francisco
2019-02-14T08:00:00,13.0,77.64,0.0,0,,San Francisco
2019-02-14T09:00:00,13.0,77.64,0.336,100,rain,San Francisco
2019-02-14T10:00:00,12.1,82.45,3.6,100,rain,San Francisco
2019-02-14T11:00:00,11.0,87.63,6.131,100,rain,San Francisco
2019-02-14T12:00:00,11.7,84.18,2.0869999999999997,100,rain,San Francisco
2019-02-14T13:00:00,12.3,79.52,0.0,0,,San Francisco
2019-02-14T14:00:00,12.5,78.02,0.446,100,rain,San Francisco
2019-02-14T15:00:00,13.4,70.4,0.188,100,rain,San Francisco
2019-02-14T16:00:00,12.7,70.69,0.0,0,,San Francisco
2019-02-14T17:00:00,12.4,65.45,0.0,0,,San Francisco
2019-02-14T18:00:00,12.0,64.68,0.0,0,,San Francisco
2019-02-14T19:00:00,11.8,65.66,0.0,0,,San Francisco
2019-02-14T20:00:00,12.0,63.66,0.0,0,,San Francisco
2019-02-14T21:00:00,11.7,69.46,0.0,0,,San Francisco
2019-02-14T22:00:00,11.1,75.05,0.304,100,rain,San Francisco
2019-02-14T23:00:00,10.4,87.37,1.9609999999999999,100,rain,San Francisco
2019-02-15T00:00:00,10.9,84.04,0.174,100,rain,San Francisco
2019-02-15T01:00:00,10.7,80.28,0.25,100,rain,San Francisco
2019-02-15T02:00:00,10.4,80.81,0.5429999999999999,100,rain,San Francisco
2019-02-15T03:00:00,10.2,77.17,0.0,0,,San Francisco
2019-02-15T04:00:00,9.1,76.18,0.0,0,,San Francisco
2019-02-15T05:00:00,9.7,70.3,0.0,0,,San Francisco
2019-02-15T06:00:00,7.9,77.88,0.498,100,rain,San Francisco
2019-02-15T07:00:00,8.7,73.46,0.0,0,,San Francisco
2019-02-15T08:00:00,9.5,70.79,0.0,0,,San Francisco
2019-02-15T09:00:00,9.9,66.64,0.126,100,rain,San Francisco
2019-02-15T10:00:00,11.4,64.18,0.0,0,,San Francisco
2019-02-15T11:00:00,11.9,62.65,0.0,0,,San Francisco
2019-02-15T12:00:00,11.5,65.22,0.332,100,rain,San Francisco
2019-02-15T13:00:00,9.7,70.51,1.1079999999999999,100,rain,San Francisco
2019-02-15T14:00:00,11.1,66.21,0.062,100,rain,San Francisco
2019-02-15T15:00:00,9.6,67.47,0.29,100,rain,San Francisco
2019-02-15T16:00:00,10.6,67.36,0.209,100,rain,San Francisco
2019-02-15T17:00:00,10.0,67.22,0.0,0,,San Francisco
2019-02-15T18:00:00,9.3,69.61,0.0,0,,San Francisco
2019-02-15T19:00:00,8.9,70.07,0.0,0,,San Francisco
2019-02-15T20:00:00,8.2,76.12,0.27399999999999997,100,rain,San Francisco
2019-02-15T21:00:00,8.3,78.71,0.4,100,rain,San Francisco
2019-02-15T22:00:00,8.5,79.31,0.063,100,rain,San Francisco
2019-02-15T23:00:00,9.1,76.59,0.062,100,rain,San Francisco
2019-02-16T00:00:00,8.5,79.9,0.541,100,rain,San Francisco
2019-02-16T01:00:00,9.1,78.51,0.22899999999999998,100,rain,San Francisco
2019-02-16T02:00:00,8.4,82.12,0.519,100,rain,San Francisco
2019-02-16T03:00:00,8.4,81.29,0.9570000000000001,100,rain,San Francisco
2019-02-16T04:00:00,8.1,85.74,1.177,100,rain,San Francisco
2019-02-16T05:00:00,7.7,87.6,0.0,0,,San Francisco
2019-02-16T06:00:00,8.1,84.39,0.25,100,rain,San Francisco
2019-02-16T07:00:00,8.3,80.46,0.415,100,rain,San Francisco
2019-02-16T08:00:00,8.6,77.24,0.27699999999999997,100,rain,San Francisco
2019-02-16T09:00:00,9.7,74.48,0.0,0,,San Francisco
2019-02-16T10:00:00,10.5,73.14,0.51,100,rain,San Francisco
2019-02-16T11:00:00,11.3,65.77,0.0,0,,San Francisco
2019-02-16T12:00:00,12.2,62.41,0.0,0,,San Francisco
2019-02-16T13:00:00,11.1,70.44,0.498,100,rain,San Francisco
2019-02-16T14:00:00,11.3,67.5,0.0,0,,San Francisco
2019-02-16T15:00:00,11.8,60.69,0.0,0,,San Francisco
2019-02-16T16:00:00,11.5,61.54,0.0,0,,San Francisco
2019-02-16T17:00:00,10.9,59.12,0.0,0,,San Francisco
2019-02-16T18:00:00,8.9,68.63,0.0,0,,San Francisco
2019-02-16T19:00:00,8.9,64.8,0.0,0,,San Francisco
2019-02-16T20:00:00,8.9,64.41,0.0,0,,San Francisco
2019-02-16T21:00:00,8.8,64.29,0.0,0,,San Francisco
2019-02-16T22:00:00,8.3,66.52,0.0,0,,San Francisco
2019-02-16T23:00:00,8.8,65.9,0.0,0,,San Francisco
2019-02-17T00:00:00,7.9,70.26,0.0,0,,San Francisco
2019-02-17T01:00:00,9.1,68.05,0.0,0,,San Francisco
2019-02-17T02:00:00,8.7,72.95,0.128,100,rain,San Francisco
2019-02-17T03:00:00,7.5,83.74,1.8940000000000001,100,rain,San Francisco
2019-02-17T04:00:00,7.7,82.55,0.502,100,rain,San Francisco
2019-02-17T05:00:00,7.0,87.14,0.539,100,rain,San Francisco
2019-02-17T06:00:00,7.3,80.61,1.304,100,rain,San Francisco
2019-02-17T07:00:00,7.3,77.34,0.0,0,,San Francisco
2019-02-17T08:00:00,8.6,69.14,0.0,0,,San Francisco
2019-02-17T09:00:00,9.1,64.85,0.0,0,,San Francisco
2019-02-17T10:00:00,10.0,59.51,0.0,0,,San Francisco
2019-02-17T11:00:00,10.2,59.29,0.0,0,,San Francisco
2019-02-17T12:00:00,11.5,51.85,0.0,0,,San Francisco
